transaction_id,vendor,amount,date
TXN10507,Vendor_024,588.05,2025-06-11
TXN10818,Vendor_053,2012.17,2025-05-02
TXN10452,Vendor_008,501.98,2025-08-26
TXN10368,Vendor_035,2052.84,2025-01-07
TXN10242,Vendor_025,3485.91,2025-05-26
TXN10929,Vendor_001,1659.92,2025-06-13
TXN10262,Vendor_060,26.75,2025-01-19
TXN10810,Vendor_001,1418.09,2025-08-01
TXN10318,Vendor_052,2755.67,2025-01-12
TXN10049,Vendor_055,182.74,2025-05-03
TXN10446,Vendor_049,2911.95,2025-05-02
TXN10142,Vendor_024,223.69,2025-09-08
TXN20018,Vendor_061,545100.0,2025-04-04
TXN10345,Vendor_014,2444.67,2025-01-20
TXN20021,Vendor_062,535400.0,2025-09-13
TXN10133,Vendor_020,3346.5,2025-10-09
TXN10104,Vendor_054,1466.05,2025-04-21
TXN10006,Vendor_027,14086.56,2025-03-13
TXN10600,Vendor_020,4837.17,2025-06-03
TXN10496,Vendor_026,469.46,2025-10-20
TXN10702,Vendor_007,723.68,2025-07-25
TXN10472,Vendor_037,252.21,2025-04-21
TXN10598,Vendor_051,1014.77,2025-02-18
TXN10502,Vendor_007,293.5,2025-01-04
TXN10433,Vendor_054,4595.37,2025-09-26
TXN10119,Vendor_005,4805.48,2025-10-03
TXN10108,Vendor_006,2527.07,2025-05-25
TXN10647,Vendor_003,1684.82,2025-07-15
TXN10589,Vendor_010,594.13,2025-01-05
TXN10374,Vendor_027,29706.98,2025-09-03
TXN10910,Vendor_029,1211.83,2025-08-02
TXN10718,Vendor_046,1126.99,2025-03-27
TXN10744,Vendor_022,3543.81,2025-07-13
TXN10494,Vendor_010,13095.99,2025-01-24
TXN10404,Vendor_034,1007.19,2025-09-21
TXN10274,Vendor_060,504.74,2025-01-05
TXN10078,Vendor_029,2037.11,2025-07-26
TXN10721,Vendor_029,195.74,2025-03-03
TXN10644,Vendor_058,1313.61,2025-08-11
TXN10614,Vendor_052,43454.84,2025-10-06
TXN10872,Vendor_022,300.93,2025-09-06
TXN10691,Vendor_036,8161.06,2025-07-09
TXN10090,Vendor_039,2051.24,2025-08-31
TXN10101,Vendor_014,1046.45,2025-01-02
TXN10094,Vendor_045,1086.0,2025-01-18
TXN10577,Vendor_003,4925.22,2025-03-28
TXN10537,Vendor_053,1096.72,2025-02-04
TXN10041,Vendor_041,2259.23,2025-03-18
TXN10453,Vendor_007,3481.65,2025-05-31
TXN20045,Vendor_064,6225.0,2025-08-06
TXN10713,Vendor_041,3037.76,2025-08-10
TXN10034,Vendor_032,5267.49,2025-03-21
TXN10639,Vendor_001,335.76,2025-03-04
TXN10035,Vendor_054,369.78,2025-03-27
TXN10148,Vendor_047,3563.59,2025-06-27
TXN10455,Vendor_011,645.01,2025-09-13
TXN10885,Vendor_017,19944.72,2025-07-03
TXN10677,Vendor_058,17640.48,2025-10-21
TXN10486,Vendor_014,780.13,2025-01-14
TXN10685,Vendor_018,4568.31,2025-04-25
TXN10307,Vendor_052,837.95,2025-08-14
TXN10238,Vendor_004,764.85,2025-02-19
TXN10395,Vendor_041,982.47,2025-07-11
TXN10734,Vendor_046,6890.52,2025-02-16
TXN10822,Vendor_028,35902.69,2025-06-21
TXN10812,Vendor_031,11861.71,2025-10-06
TXN10464,Vendor_044,1562.39,2025-10-05
TXN10816,Vendor_018,2558.47,2025-04-09
TXN10528,Vendor_047,2534.22,2025-03-19
TXN10017,Vendor_044,2720.37,2025-08-16
TXN10709,Vendor_009,16405.85,2025-06-10
TXN10370,Vendor_022,1866.58,2025-01-14
TXN10241,Vendor_039,1557.51,2025-07-21
TXN20014,Vendor_065,519700.0,2025-07-05
TXN10457,Vendor_043,470.68,2025-01-22
TXN10065,Vendor_013,10541.89,2025-01-25
TXN10191,Vendor_035,5504.48,2025-04-20
TXN10838,Vendor_038,6500.4,2025-01-31
TXN10331,Vendor_010,563.16,2025-01-25
TXN10638,Vendor_011,338.0,2025-01-16
TXN10255,Vendor_025,963.43,2025-09-15
TXN10742,Vendor_004,802.5,2025-03-17
TXN10756,Vendor_035,3433.42,2025-08-25
TXN10757,Vendor_020,2299.13,2025-06-26
TXN20001,Vendor_065,5912.0,2025-09-26
TXN20042,Vendor_061,862200.0,2025-06-09
TXN10463,Vendor_015,2387.91,2025-03-29
TXN10843,Vendor_027,2972.42,2025-08-22
TXN10573,Vendor_044,1359.9,2025-05-22
TXN10527,Vendor_027,1924.67,2025-07-17
TXN10654,Vendor_024,51295.98,2025-08-14
TXN10189,Vendor_044,252.32,2025-04-12
TXN10517,Vendor_036,507.34,2025-07-02
TXN20006,Vendor_062,820400.0,2025-01-12
TXN10414,Vendor_051,2785.01,2025-06-01
TXN10671,Vendor_028,122.07,2025-02-16
TXN10559,Vendor_025,1045.99,2025-07-24
TXN10593,Vendor_016,2789.9,2025-05-05
TXN10258,Vendor_003,3219.45,2025-02-11
TXN10154,Vendor_055,2646.5,2025-09-21
TXN10335,Vendor_014,1493.42,2025-04-20
TXN10013,Vendor_024,150.32,2025-02-15
TXN10911,Vendor_043,2404.01,2025-02-23
TXN10156,Vendor_047,20445.27,2025-03-27
TXN10428,Vendor_041,7157.76,2025-06-18
TXN10824,Vendor_023,1013.18,2025-03-16
TXN10267,Vendor_040,281.69,2025-08-17
TXN10538,Vendor_046,6688.74,2025-03-10
TXN10236,Vendor_049,129.97,2025-06-03
TXN10944,Vendor_042,19942.89,2025-05-24
TXN10479,Vendor_021,7749.99,2025-08-19
TXN10785,Vendor_023,7368.84,2025-06-07
TXN20000,Vendor_065,7629.0,2025-10-22
TXN10059,Vendor_016,6426.65,2025-01-22
TXN10868,Vendor_034,4256.1,2025-05-19
TXN10175,Vendor_013,5299.34,2025-06-08
TXN10711,Vendor_014,1594.43,2025-07-22
TXN10449,Vendor_049,456.24,2025-09-25
TXN10120,Vendor_008,5056.05,2025-06-20
TXN10794,Vendor_012,443.47,2025-08-31
TXN10180,Vendor_013,4078.02,2025-10-06
TXN10311,Vendor_002,7543.26,2025-09-15
TXN10003,Vendor_024,13094.39,2025-01-12
TXN10194,Vendor_026,2264.56,2025-04-27
TXN10437,Vendor_011,300.63,2025-01-10
TXN10683,Vendor_009,3415.87,2025-09-09
TXN10799,Vendor_014,1879.35,2025-07-29
TXN10746,Vendor_027,2304.91,2025-09-14
TXN10625,Vendor_040,930.22,2025-07-29
TXN10692,Vendor_035,443.46,2025-05-27
TXN10551,Vendor_025,1476.78,2025-02-05
TXN10248,Vendor_055,17945.43,2025-05-29
TXN10659,Vendor_026,1498.67,2025-07-09
TXN10002,Vendor_049,4196.45,2025-10-08
TXN20047,Vendor_064,843300.0,2025-10-05
TXN10860,Vendor_045,2353.83,2025-02-11
TXN10776,Vendor_001,702.55,2025-06-17
TXN10857,Vendor_032,3337.04,2025-10-05
TXN10358,Vendor_046,2750.49,2025-09-20
TXN10769,Vendor_051,19075.94,2025-02-28
TXN10073,Vendor_018,13822.28,2025-07-30
TXN10117,Vendor_010,395.72,2025-04-03
TXN10938,Vendor_032,2482.3,2025-10-17
TXN10535,Vendor_054,1922.95,2025-07-17
TXN10111,Vendor_037,1746.78,2025-09-18
TXN10509,Vendor_019,613.86,2025-06-08
TXN10512,Vendor_022,1325.26,2025-06-01
TXN10916,Vendor_056,3984.89,2025-10-13
TXN10555,Vendor_055,1058.45,2025-08-08
TXN10552,Vendor_021,8251.22,2025-04-16
TXN10354,Vendor_031,1763.89,2025-02-25
TXN20020,Vendor_065,9809.0,2025-01-28
TXN10008,Vendor_029,982.09,2025-01-08
TXN10581,Vendor_055,1053.77,2025-10-16
TXN10056,Vendor_028,607.3,2025-03-25
TXN10576,Vendor_018,2456.02,2025-03-10
TXN10705,Vendor_060,3975.13,2025-10-02
TXN10651,Vendor_052,7820.74,2025-05-14
TXN10084,Vendor_060,632.04,2025-06-01
